Abui;En;zero;pat;loc/ben;rec/goal;Verb
mpang;think;0;0;0;1;mpang_think
kilikil;"lazily;lazy";0;0;1;0;"kilikil_lazily;lazy"
mida;fill;0;0;1;0;mida_fill
faaling;listen;0;0;1;0;faaling_listen
kafia;scratch;0;0;1;0;kafia_scratch
roa;watch;0;0;1;1;roa_watch
takia;"loosen;escape";0;0;1;1;"takia_loosen;escape"
ruida;set.upright;0;1;0;0;ruida_set.upright
suonra;shift.along;0;1;0;0;suonra_shift.along
rul;take.off;0;1;0;0;rul_take.off
kal;odd;0;1;0;0;kal_odd
tukda;stick.out;0;1;0;0;tukda_stick.out
liikda;carry.on;0;1;0;0;liikda_carry.on
munang;smell;0;1;0;0;munang_smell
mun;smell;0;1;0;0;mun_smell
yongfa;forget;0;1;0;0;yongfa_forget
kolra;cheat;0;1;0;0;kolra_cheat
kil;"remote;turn.over;detach";0;1;0;1;"kil_remote;turn.over;detach"
king;long;0;1;1;0;king_long
wik;"carry.in.arms;hug";0;1;1;1;"wik_carry.in.arms;hug"
yai;"song;sing";1;0;0;0;"yai_song;sing"
aral;burn.off;1;0;0;0;aral_burn.off
ahelra;tired;1;0;0;0;ahelra_tired
mel;tasty;1;0;0;0;mel_tasty
maraai;hunger;1;0;0;0;maraai_hunger
palaata;be.cold;1;0;0;0;palaata_be.cold
ahiling;"air;be.broad";1;0;0;0;"ahiling_air;be.broad"
rowa;live;1;0;0;0;rowa_live
taa;"sleep;lie";1;0;0;0;"taa_sleep;lie"
foma;generous;1;0;0;0;foma_generous
afeida;"set;yesterday";1;0;0;0;"afeida_set;yesterday"
maada;"also;exist;be.straight";1;0;0;0;"maada_also;exist;be.straight"
mot;lie.together;1;0;0;0;mot_lie.together
wea;blood;1;0;0;0;wea_blood
momang;be.clean;1;0;0;0;momang_be.clean
buida;shorten;1;0;0;0;buida_shorten
ong;"make;cause";1;0;0;0;"ong_make;cause"
lol;"wander;walk";1;0;0;0;"lol_wander;walk"
mit;"sit;stay";1;0;0;0;"mit_sit;stay"
kiik;sweep;1;0;0;0;kiik_sweep
mahia;perceive;1;0;0;0;mahia_perceive
balasa;beat;1;0;0;0;balasa_beat
pok;"split;spit";1;0;0;0;"pok_split;spit"
wee;leave;1;0;0;0;wee_leave
ameeta;be.small;1;0;0;0;ameeta_be.small
mielang;fear;1;0;0;0;mielang_fear
lai;spread;1;0;0;0;lai_spread
walangai;fresh;1;0;0;0;walangai_fresh
batek;smite;1;0;0;0;batek_smite
iya;put;1;0;0;0;iya_put
lila;be.hot;1;0;0;0;lila_be.hot
me;come;1;0;0;0;me_come
natea;"put.a.spell;rise";1;0;0;0;"natea_put.a.spell;rise"
paling;wipe;1;0;0;0;paling_wipe
maal;cook;1;0;0;0;maal_cook
paneng;"do;make";1;0;0;0;"paneng_do;make"
namei;"prepare.field;cut.plantage";1;0;0;0;"namei_prepare.field;cut.plantage"
manei;replace;1;0;0;0;manei_replace
natet;"stand;protect.with.spell;stand.up;stop.moving;stand.up.";1;0;0;1;"natet_stand;protect.with.spell;stand.up;stop.moving;stand.up."
buuk;"drink;let.drink";1;0;0;1;"buuk_drink;let.drink"
fil;"young;pull.to;draw;pull.on";1;0;0;1;"fil_young;pull.to;draw;pull.on"
fafang;straight;1;0;0;1;fafang_straight
nee;eat;1;0;0;1;nee_eat
tafuda;"be.all.;be.all;all;everybody";1;0;0;1;"tafuda_be.all.;be.all;all;everybody"
il;call;1;0;0;1;il_call
luol;"hate;gather";1;0;0;1;"luol_hate;gather"
tei;"where;dig.in";1;0;1;0;"tei_where;dig.in"
tabok;send;1;0;1;0;tabok_send
kariang;"work;work.on";1;0;1;0;"kariang_work;work.on"
mara;"go.up;go.up.to";1;0;1;0;"mara_go.up;go.up.to"
tanga;"talk;speak;speak.about";1;0;1;0;"tanga_talk;speak;speak.about"
sik;"quit;split.up;pluck;interrupt;sever";1;0;1;0;"sik_quit;split.up;pluck;interrupt;sever"
reekna;thirsty;1;0;1;0;reekna_thirsty
tabung;"hide.from;hide";1;0;1;0;"tabung_hide.from;hide"
muria;plant;1;0;1;0;muria_plant
tukoi;strong;1;0;1;0;tukoi_strong
tukong;"cut;cut.up";1;0;1;0;"tukong_cut;cut.up"
fanga;"tell;say;tell.to;tell.about";1;0;1;0;"fanga_tell;say;tell.to;tell.about"
mia;"be.in;take;take.away";1;0;1;0;"mia_be.in;take;take.away"
namu;wound;1;0;1;0;namu_wound
tahai;search;1;0;1;0;tahai_search
lilra;"heat.up;heat";1;0;1;0;"lilra_heat.up;heat"
baai;"angry;strike;grind;be.angry";1;0;1;0;"baai_angry;strike;grind;be.angry"
rumai;"be.strong;strengthen;strong";1;0;1;1;"rumai_be.strong;strengthen;strong"
pa;"touch;near;go.down;have";1;0;1;1;"pa_touch;near;go.down;have"
kaanra;"complete;recover";1;0;1;1;"kaanra_complete;recover"
mong;die;1;0;1;1;mong_die
sei;"come.down;put.into;meet";1;0;1;1;"sei_come.down;put.into;meet"
ieng;"see;look";1;1;0;0;"ieng_see;look"
lika;stuck.in;1;1;0;0;lika_stuck.in
wok;"hack;throw";1;1;0;0;"wok_hack;throw"
liel;"put.a.spell;open;lift";1;1;0;0;"liel_put.a.spell;open;lift"
al;burn;1;1;0;0;al_burn
uol;strike;1;1;0;0;uol_strike
minang;remember;1;1;0;0;minang_remember
pung;grab;1;1;0;0;pung_grab
bel;"pull.out;draw.bow;buy;pull;fight";1;1;0;0;"bel_pull.out;draw.bow;buy;pull;fight"
paating;teach;1;1;0;0;paating_teach
buk;"bunch;tie.up;brace";1;1;0;1;"buk_bunch;tie.up;brace"
fik;"pull.away;tighten";1;1;1;0;"fik_pull.away;tighten"
muila;play;1;1;1;0;muila_play
luk;"massage;bend;rub;fight";1;1;1;1;"luk_massage;bend;rub;fight"
l;"monkey;2s;-;-prog;wood;lure;give;in;affect";1;0;1;1;"l_monkey;2s;-;-prog;wood;lure;give;in;affect"
mi;"use;3a;take.away;be.inside;be.in.;take;soon;be.in;also;inside;in;see;be;remove";1;0;1;1;"mi_use;3a;take.away;be.inside;be.in.;take;soon;be.in;also;inside;in;see;be;remove"
wahai;"look;look.at;see";1;0;1;1;"wahai_look;look.at;see"
it;"lie.on.;be.inan;NO_GLOSS;that.inanim;lie.on";1;0;1;1;"it_lie.on.;be.inan;NO_GLOSS;that.inanim;lie.on"
kaang;"be.good;good;can;right";1;0;1;1;"kaang_be.good;good;can;right"
yaa;"spc;return;bump.into;go;go.to";1;0;1;1;"yaa_spc;return;bump.into;go;go.to"
puna;"hold;handle";1;0;1;1;"puna_hold;handle"
yaal;give.birth;1;1;0;0;yaal_give.birth
lal;"reach.to.;laugh;set.laughing";1;1;0;0;"lal_reach.to.;laugh;set.laughing"
riik;"hurt;ill";1;1;0;0;"riik_hurt;ill"
kol;"bind;trick";1;1;1;1;"kol_bind;trick"
punadi;hold;0;0;0;1;punadi_hold
kol-kol;like.trick;0;0;0;1;kol-kol_like.trick
kaik;stab;0;0;0;1;kaik_stab
mpan;think;0;0;0;1;mpan_think
bakai;grapple;0;0;0;1;bakai_grapple
